,3B10,,,9B05,,,L13,,
hours,A,B,C,A,B,C,A,B,C
0,0.011853846,0.013053846,0.015253846,0.015653846,0.015953846,0.017253846,0.016953846,0.017253846,0.018053846
2,0.049253846,0.034753846,0.039353846,0.031653846,0.029653846,0.023253846,0.014753846,0.014153846,0.017553846
3,0.107053846,0.094853846,0.097653846,0.061053846,0.060953846,0.056653846,0.039953846,0.041353846,0.042053846
4,0.209053846,0.209553846,0.209553846,0.167553846,0.168853846,0.156853846,0.108053846,0.102453846,0.110353846
5,0.393653846,0.397553846,0.394353846,0.280853846,0.293353846,0.291653846,0.188853846,0.187953846,0.190153846
6,0.548953846,0.544353846,0.533053846,0.448853846,0.446353846,0.450953846,0.343353846,0.338253846,0.343753846
7,0.728269231,0.656769231,0.621769231,0.590269231,0.573269231,0.557769231,0.389769231,0.418769231,0.415769231
8,0.859269231,0.823269231,0.833269231,0.793269231,0.775769231,0.759769231,0.627269231,0.614769231,0.636769231
9,0.829269231,0.761269231,0.826269231,0.771769231,0.758269231,0.727769231,0.625269231,0.622769231,0.657769231
10,0.679769231,0.648769231,0.925269231,0.761769231,0.750269231,0.743269231,0.707769231,0.731269231,0.724769231
11,1.005269231,0.922769231,1.646769231,0.748269231,0.758769231,0.754769231,0.784769231,0.759269231,0.739269231
12,0.729269231,0.737769231,0.716269231,0.710269231,0.738769231,0.690769231,0.708769231,0.763269231,0.722769231
26,0.514269231,0.482769231,0.407769231,0.800769231,0.803769231,0.800769231,0.474269231,0.647269231,0.606769231
