Sample,,,,,,,leucine Results,phenylalanine Results,isoleucine Results,tryptophan Results,methionine Results,proline Results,valine Results,tyrosine Results,glucose Results,alanine Results,threonine Results,glutamine Results,glycine Results,asparagine Results,histidine Results,serine Results,glutamate Results,aspartate Results,lysine Results,arginine Results
,,Name,Data File,Type,Level,Acq. Date-Time,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.
!,!,OAA2_100_1,20151123_SJ_OAM1_6460_OAA2_100_1_HLPos_OAA2_100_1_CC_001.d,Cal,5,11/25/2015 1:10 PM,98271.1147,105638.0265,104417.5952,110921.3220,101031.2986,103584.7897,104383.8685,12218.6051,125712.0587,106236.5032,111760.7773,112814.1930,111788.6120,126826.4872,97834.0787,121143.7200,121906.4412,130784.7968,124630.3555,116730.3451
!,!,OAA2_100_1,20151123_SJ_OAM1_6460_OAA2_100_1_HLPos_OAA2_100_1_CC_006.d,Cal,5,11/25/2015 4:33 PM,91986.6477,93925.4729,95888.1950,99333.3535,93291.8436,92664.7368,95075.5745,9691.0847,107371.7246,95356.4190,101575.2277,101620.0393,102581.0434,113173.4553,91015.5479,109372.2429,109260.2552,122921.7411,108724.2979,103363.5179
,!,OAA2_100_1,20151123_SJ_OAM1_6460_OAA2_100_1_HLPos_OAA2_100_1_CC_011.d,Cal,5,11/25/2015 7:57 PM,98049.6649,102496.3786,103039.1871,97730.5302,99901.4116,101873.3349,101816.3761,11225.8582,121085.7681,103184.2683,111343.4842,111244.7480,106746.5409,123644.6403,89985.7446,116935.1761,119284.9482,130160.9927,118825.9913,110217.2571
!,!,OAA2_100_2,20151123_SJ_OAM1_6460_OAA2_100_2_HLPos_OAA2_100_2_CC_016.d,Cal,5,11/27/2015 9:15 AM,100311.5929,107149.3256,94865.0484,107817.1020,103537.8672,109282.7624,104132.5416,10658.9546,103232.3712,104845.5689,98883.8606,99212.0401,99138.8811,88598.2077,104170.3593,91729.4308,89493.7771,78159.5985,98015.4426,99239.8979
!,!,OAA2_100_2,20151123_SJ_OAM1_6460_OAA2_100_2_HLPos_OAA2_100_2_CC_021.d,Cal,5,11/27/2015 12:39 PM,96300.2770,98025.1689,99704.8464,95766.3438,95514.0620,98229.6382,96110.1682,9985.3199,99865.5252,95365.2106,93902.4595,92570.3425,86784.4339,80591.4867,92535.2992,82272.8901,83455.2711,71366.0097,85226.3133,89593.9839
,!,OAA2_100_2,20151123_SJ_OAM1_6460_OAA2_100_2_HLPos_OAA2_100_2_CC_026.d,Cal,5,11/27/2015 4:02 PM,106085.7998,105480.5946,105393.8471,104587.2880,103595.1191,107378.7813,104584.5242,10067.3986,87449.5854,104021.0947,99747.4627,96039.9567,93611.9822,80416.9720,103732.3727,85111.7028,84047.3637,69471.3062,86501.6968,94301.2964
,!,OAA2_50_1,20151123_SJ_OAM1_6460_OAA2_50_1_HLPos_OAA2_50_1_CC_002.d,Cal,4,11/25/2015 1:50 PM,49882.6272,40754.3930,47272.0027,41126.7764,46244.8647,39153.5082,43689.4602,3305.1130,32574.4229,43207.0832,41477.6227,39718.8732,48853.7139,45747.3875,55551.4870,47553.8270,46988.7424,54124.9276,43822.0930,44712.0573
,!,OAA2_50_1,20151123_SJ_OAM1_6460_OAA2_50_1_HLPos_OAA2_50_1_CC_007.d,Cal,4,11/25/2015 5:14 PM,54835.7355,48647.7043,56231.8878,50582.9218,52635.5390,46513.5863,51608.8977,4094.2506,41612.9721,50722.2560,49633.9908,52300.7443,54200.8408,56594.5849,58832.4658,56601.1139,58494.7852,64498.1270,52392.6488,53214.4660
,!,OAA2_50_1,20151123_SJ_OAM1_6460_OAA2_50_1_HLPos_OAA2_50_1_CC_012.d,Cal,4,11/25/2015 8:37 PM,53120.7852,46674.7361,48191.0521,46931.9467,52512.0903,46098.6569,48804.2033,3805.1651,36337.4186,47702.4312,46410.2231,49183.1221,52677.2023,51669.1931,55645.7920,52225.0829,54368.1363,60144.4163,47661.5525,48919.3648
