Time,tryptophan,phenylalanine,leucine,isoleucine,methionine,proline,valine,glucose,tyrosine,alanine,threonine,histidine,glycine,glutamine,asparagine,serine,glutamate,aspartate,lysine,arginine
0,104516.8113,103302.795,108667.3854,103521.5756,115198.5656,103646.9693,103939.0717,92138.93547,9947.5904,102318.4141,102845.8649,88479.54597,101223.0186,102250.5693,95947.7528,97161.92083,96811.14153,88171.67383,95559.2773,98341.99103
1,94517.92447,94382.99783,96626.1766,93798.48703,99009.07233,94187.15,94479.8477,85087.45863,8946.3328,92563.29463,94283.91813,83448.3464,90056.56113,87314.3459,80405.35057,84897.7168,79250.58527,78149.79157,84785.97393,86862.6874
2,99075.0138,98612.4417,103087.9707,99033.0392,113021.5832,97927.0852,100914.2453,79428.44385,9397.0023,96602.39285,101910.5846,114886.4594,112136.4983,88700.54205,85412.4804,95183.52715,75721.59835,92618.8644,96711.7983,95124.2938
3,93401.7541,92621.348,92725.76367,93275.3231,104116.0754,90907.37943,96967.67207,43241.8414,9036.7894,87133.6161,100834.4456,84928.19007,150144.417,56713.49757,55488.4642,89399.53633,56061.92687,79634.39897,100085.1984,87511.31827
4,78019.4735,77419.3411,70922.41577,73828.55753,88838.6792,64607.34897,82917.73137,590.1017333,8046.676867,47918.39263,81836.34123,69555.83763,,0,0,37157.16147,21246.37177,17418.98337,79459.27857,41269.4524
5,42392.03563,42833.7839,42478.59353,40946.5496,70848.51717,0,59620.74367,572.4642667,7482.885833,362.3127,43841.10533,39949.89387,105745.7127,0,0,470.8858,638.2106,0,59741.5963,71.86606667
6,0,0,6644.377467,4237.0832,43175.52123,0,16217.9567,552.2437667,95.20276667,0,6859.5271,73.3657,40897.70207,0,0,0,218.6664333,0,388.6016333,0
7,0,0,0,0,41515.13933,0,0,546.4728333,7.036666667,0,213.2925333,27.1229,660.7199667,0,0,0,44.2362,0,387.7433333,0
8,0,0,0,0,38367.7241,0,0,529.6954667,0,0,202.2358667,20.3138,0,0,0,0,45.3906,0,383.5757333,0
9,0,0,0,0,41361.24313,0,0,526.3724333,0,0,204.1786333,33.19293333,0,0,0,0,48.2127,0,389.3677667,0
