Time,tryptophan,phenylalanine,leucine,isoleucine,methionine,proline,valine,glucose,tyrosine,alanine,threonine,histidine,glycine,glutamine,asparagine,serine,glutamate,aspartate,lysine,arginine
0,230.990582,265.8688076,1384.309259,778.6340423,3267.031758,285.2704296,234.7163109,499.5452731,74.4293544,535.5584532,627.0315121,2303.365229,1543.208558,2781.711343,5764.966332,3846.002065,4554.599173,7174.932469,3956.571658,2076.244573
1,1149.217206,1197.842011,1235.805465,1445.18566,2929.253799,701.1231146,924.1016173,2496.085935,140.7947446,793.7376596,2853.10318,8643.819009,5090.174861,4056.747386,8396.127238,7164.222991,6915.603855,12409.8251,9166.762802,6760.597665
2,1310.282,811.0748,1247.46265,1349.6277,2533.6114,538.0167,301.53745,2723.72365,31.8392,1230.72685,1481.167,22283.41547,8946.3375,5358.07195,12336.466,10650.67565,6938.83955,15404.9355,10709.3563,7047.4822
3,445.1534885,454.6747087,1693.272146,1679.251022,3140.919294,2088.239074,1198.741218,729.8688758,105.4488456,2253.30888,2589.670645,11068.65616,8767.947504,2611.180417,1425.05895,1764.196956,1946.024461,1313.893455,3088.350548,2158.632184
4,725.1256223,370.007844,1992.985659,911.2272456,3201.183322,1809.086906,1239.732324,31.34421368,181.6330913,978.1907441,768.3837822,3766.434717,,0,0,2217.55057,700.7657792,2048.074432,5907.6855,10356.32363
5,540.0585892,315.1257932,503.8283461,355.1535824,920.4749499,0,255.237677,21.07442986,129.6148488,11.86095063,817.7828558,764.9716096,3096.175637,0,0,57.82636438,10.64497729,0,2284.871728,71.86606667
6,0,0,290.9950164,304.292163,3286.916241,0,387.9478739,10.42976933,4.35637748,0,462.535023,18.99213605,826.4412932,0,0,0,15.04502812,0,10.4136612,0
7,0,0,0,0,6018.122423,0,0,13.06580632,3.557858173,0,2.104069348,2.402892268,420.1365533,0,0,0,6.101882091,0,11.39631343,0
8,0,0,0,0,3022.563543,0,0,4.869180578,0,0,1.161801132,5.366690545,0,0,0,0,4.464909744,0,13.99869847,0
9,0,0,0,0,3575.873745,0,0,1.301268665,0,0,2.407176043,7.185846978,0,0,0,0,4.403632048,0,15.48097948,0
