compound	MW	molarity(nM)
isoleucine	131.18	762.3113279
arginine	174.2	574.0528129
asparagine	132.12	756.8876779
glutamine	146.15	684.2285323
aspartate	133.1	751.3148009
valine	117.15	853.6064874
glutamate	147.13	679.6710392
leucine	131.18	762.3113279
lysine	146.19	684.0413161
tryptophan	204.23	489.6440288
proline	115.13	868.5833406
alanine	89.09	1122.460433
glucose	180.16	555.062167
glycine	75.07	1332.090049
histidine	155.16	644.4960041
phenylalanine	165.19	605.3635208
methionine	149.21	670.1963675
serine	105.09	951.565325
threonine	119.12	839.4895903
tyrosine	181.19	551.9068381
